1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
1,4,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,3,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,2,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
1,4,0
0,0,0
2,1,13
1,4,0
1,4,0
1,4,0
1,2,0
1,3,0
1,3,0
1,3,0
2,4,13
1,1,0
1,1,0
1,1,0
1,2,0
1,3,0
1,3,0
1,3,0
2,1,13
1,4,0
1,4,0
1,4,0
1,2,0
1,3,0
1,3,0
1,3,0
2,4,13
1,1,0
1,1,0
1,1,0
1,2,0
1,3,0
1,3,0
1,3,0
1,1,0
1,1,0
1,34,0
0,0,0
1,2,0
1,2,0
1,34,0
0,0,0
1,1,0
1,1,0
1,34,0
0,0,0
1,2,0
1,2,0
1,34,0
0,0,0
1,1,0
1,1,0
1,34,0
0,0,0
1,1,0
1,1,0
1,34,0
0,0,0
1,1,0
1,1,0
1,34,0
0,0,0
1,2,0
1,2,0
1,34,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
2,3,5
0,0,0
0,0,0
0,0,0
1,4,0
0,0,0
0,0,0
0,0,0
2,1,5
0,0,0
0,0,0
0,0,0
1,3,0
0,0,0
0,0,0
0,0,0
2,1,5
0,0,0
0,0,0
0,0,0
1,3,0
0,0,0
0,0,0
0,0,0
2,2,5
0,0,0
0,0,0
0,0,0
1,4,0
0,0,0
0,0,0
0,0,0
2,3,5
0,0,0
0,0,0
0,0,0
1,4,0
0,0,0
0,0,0
0,0,0
2,1,5
0,0,0
0,0,0
0,0,0
1,3,0
0,0,0
1,2,0
1,3,0
1,4,0
0,0,0
1,1,0
0,0,0
1,2,0
1,3,0
1,4,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
2,1,3
0,0,0
1,2,0
1,3,0
1,4,0
0,0,0
1,1,0
0,0,0
1,2,0
1,3,0
1,4,0
0,0,0
1,1,0
0,0,0
1,3,0
0,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
0,0,0
1,2,0
1,3,0
1,4,0
1,1,0
1,1,0
1,2,0
2,4,4
